target,gene,class,mechanism,family,group,organism
qnrB35_T,qnrB,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,qnrB35_T,Acinetobacter Aeromonas Citrobacter Clostridioides Enterobacter Enterococcus Escherichia Klebsiella Kluyvera_intermedia Leclercia Listeria Morganella Providencia Pseudomonas Raoultella Salmonella Serratia Shigella Staphylococcus Streptococcus Vibrio
qnrB35_T.1,qnrB35,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,qnrB35_T,Citrobacter Enterobacter Escherichia Klebsiella Salmonella
qnrB39_T,qnrB39,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,qnrB39_T,Citrobacter Escherichia Klebsiella Salmonella
qnrB6_T,qnrB,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,qnrB6_T,Acinetobacter Aeromonas Citrobacter Clostridioides Enterobacter Enterococcus Escherichia Klebsiella Kluyvera_intermedia Leclercia Listeria Morganella Providencia Pseudomonas Raoultella Salmonella Serratia Shigella Staphylococcus Streptococcus Vibrio
qnrB6_T.1,qnrB,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,qnrB6_T,Achromobacter Acinetobacter Aeromonas Citrobacter Clostridioides Enterobacter Enterococcus Escherichia Klebsiella Kluyvera_intermedia Listeria Morganella Providencia Pseudomonas Salmonella Serratia Staphylococcus Streptococcus Vibrio
qnrB9_T,qnrB11/12,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,qnrB9_T,Citrobacter Enterobacter Escherichia Klebsiella Raoultella Salmonella
qnrB9_T.1,qnrB11/12/34,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,qnrB9_T,Citrobacter Enterobacter Escherichia Klebsiella Raoultella Salmonella
qnrB9_T.2,qnrB,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRB,qnrB9_T,Acinetobacter Aeromonas Citrobacter Clostridioides Enterobacter Enterococcus Escherichia Klebsiella Kluyvera_intermedia Listeria Morganella Providencia Pseudomonas Raoultella Salmonella Serratia Staphylococcus Streptococcus Vibrio
qnrC_T,qnrC,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRC,qnrC_T,Achromobacter Proteus Serratia Vibrio
qnrC_T.1,qnrC,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRC,qnrC_T,Achromobacter Proteus Serratia Vibrio
