target,gene,class,mechanism,family,group,organism
tetK_NT,tet(K),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETK,tetK_NT,Acinetobacter Campylobacter Clostridioides Enterobacter Enterococcus Escherichia Klebsiella Listeria Mammaliicoccus Mycobacterium Neisseria Providencia Pseudomonas Salmonella Shigella Staphylococcus Streptococcus Vibrio Yersinia
tetLc_NT,tet(L),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETL,tetLc_NT,Acinetobacter Bacillus Campylobacter Clostridioides Clostridium Corynebacterium Enterobacter Enterococcus Escherichia Klebsiella Listeria Mannheimia Morganella Neisseria Pasteurella Providencia Pseudomonas Salmonella Staphylococcus Streptococcus Vibrio
tetLp_NT,tet(L),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETL,tetLp_NT,Acinetobacter Aliarcobacter Bacillus Campylobacter Clostridioides Clostridium Corynebacterium Enterobacter Enterococcus Escherichia Klebsiella Lactococcus Ligilactobacillus Listeria Mannheimia Morganella Neisseria Pasteurella Providencia Pseudomonas Salmonella Staphylococcus Streptococcus Vibrio
tetM_NT,tet(M),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TETM,tetM_NT,Acinetobacter Aliarcobacter Anaerococcus Anaerostipes Bacillus Bifidobacterium Blautia Campylobacter Citrobacter Clostridioides Clostridium Edwardsiella Enterobacter Enterococcus Erysipelatoclostridium Erysipelothrix Escherichia Eubacterium Facklamia Fusobacterium Gardnerella Gemella Haemophilus Histophilus Jeotgalibaca Klebsiella Lactobacillus Lactococcus Ligilactobacillus Listeria Megasphaera Morganella Mycoplasma Neisseria Parvimonas Peptoniphilus Photobacterium Proteus Providencia Pseudomonas Salmonella Shigella Staphylococcus Streptococcus Vagococcus Veillonella Vibrio
tetM_NT.1,tet(M),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TETM,tetM_NT,Acinetobacter Aliarcobacter Anaerococcus Anaerostipes Bacillus Bifidobacterium Blautia Campylobacter Citrobacter Clostridioides Clostridium Edwardsiella Enterobacter Enterococcus Erysipelatoclostridium Erysipelothrix Escherichia Eubacterium Fusobacterium Gardnerella Gemella Haemophilus Helcococcus Histophilus Jeotgalibaca Klebsiella Lactobacillus Lactococcus Ligilactobacillus Listeria Lysinibacillus Megasphaera Morganella Mycoplasma Neisseria Nitratidesulfovibrio Parvimonas Peptoniphilus Photobacterium Proteus Providencia Pseudomonas Salmonella Shigella Staphylococcus Streptococcus Vagococcus Vibrio
tetQ_NT,tet(Q),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TETQ,tetQ_NT,Acinetobacter Alistipes Anaerostipes Bacteroides Butyricimonas Campylobacter Capnocytophaga Collinsella Elizabethkingia Enterocloster Escherichia Eubacterium Muribaculaceae Ornithobacterium Paeniclostridium Parabacteroides Phocaeicola Porphyromonas Prevotella Providencia Riemerella Salmonella Segatella Sodaliphilus Staphylococcus Tannerella 
tetS_NT,tet(S),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TETS,tetS_NT,Enterococcus Escherichia Klebsiella Lactococcus Listeria Macrococcoides Mammaliicoccus Staphylococcus Streptococcus
tetV_NT,tet(V),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETV,tetV_NT,Mycolicibacterium
tetW_NT,tet(W/O),Tetracyclines,Tetracycline_resistance_ribosomal_protection_proteins,TETW,tetW_NT,Bifidobacterium Candidatus Clostridiales Collinsella Corynebacterium Faecalibacterium Gordonibacter Lactobacillus Ligilactobacillus Limosilactobacillus Rothia Streptococcus Trueperella [Clostridium] 
tetX_NT,tet(X2),Tetracyclines,Tetracycline_inactivation_enzymes,TETX,tetX_NT,Acinetobacter Advenella Bacteroidales Bacteroides Butyricimonas Campylobacter Chryseobacterium Elizabethkingia Empedobacter Escherichia Ignavibacteria Myroides Ornithobacterium Parabacteroides Phocaeicola Prevotella Providencia Proteiniphilum Riemerella Salmonella Segatella Sphingobacterium Vibrio 
tetX-1_NT,tet(X1),Tetracyclines,Tetracycline_inactivation_enzymes,TETX,tetX-1_NT,Bacteroides Parabacteroides Phocaeicola 
tetY_NT,tet(Y),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETY,tetY_NT,Acinetobacter Actinobacillus Aeromonas Aliarcobacter Arcobacter Burkholderia Citrobacter Escherichia Gram-negative Klebsiella Mannheimia Morganella Pasteurella Photobacterium Proteus Providencia Pseudomonas Salmonella Vibrio Yersinia 
tetZ_NT,tet(Z),Tetracyclines,Tetracycline_resistance_MFS_efflux_pumps,TETZ,tetZ_NT,Brevibacterium Cellulosimicrobium Corynebacterium Rothia Trueperella
tlcC_NT,tlr(C),Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,TLRCM,tlcC_NT,Streptomyces
uppP_NT,uppP,Bacitracin resistance,Undecaprenyl-diphosphatase,UPPP,uppP_NT,Acinetobacter
vanA_NT,vanA,Glycopeptides,VanA-type_resistance_protein,VANA,vanA_NT,Acinetobacter Brevibacillus Enterococcus Klebsiella Mycobacterium Providencia Pseudomonas Salmonella Staphylococcus Streptococcus
vanB2_NT,vanB,Glycopeptides,VanB-type_resistance_protein,VANB,vanB2_NT,Atopobium Clostridioides Clostridium Eggerthella Enterocloster Enterococcus Erysipelotrichaceae Escherichia Salmonella
vanB2_NT.1,vanB,Glycopeptides,VanB-type_resistance_protein,VANB,vanB2_NT,Clostridioides Clostridium Enterocloster Enterococcus Erysipelotrichaceae Escherichia Salmonella 
vanC1_NT,vanC1,Glycopeptides,VanC-type_resistance_protein,VANC,vanC1_NT,Enterococcus Escherichia Pseudomonas Streptococcus
vanC3_NT,vanC2/3,Glycopeptides,VanC-type_resistance_protein,VANC,vanC3_NT,Enterococcus mixed 
vanD4_NT,vanD,Glycopeptides,VanD-type_resistance_protein,VAND,vanD4_NT,Blautia Enterocloster Enterococcus Ruthenibacterium [Clostridium]
vanD5_NT,vanD,Glycopeptides,VanD-type_resistance_protein,VAND,vanD5_NT,Blautia Clostridia Enterocloster Enterococcus Ruminococcus Ruthenibacterium
vanE_NT,vanE,Glycopeptides,VanE-type_resistance_protein,VANE,vanE_NT,Enterococcus
vanG_NT,vanG,Glycopeptides,VanG-type_resistance_protein,VANG,vanG_NT,Acinetobacter Anaerostipes Bacillus Bacteroides Brevibacillus Citrobacter Clostridioides Clostridium Cronobacter Dysosmobacter Enterobacter Enterococcus Erysipelatoclostridium Escherichia Faecalibacterium Herbinix Klebsiella Kosakonia Leclercia Paeniclostridium Parabacteroides Proteus Providencia Pseudomonas Raoultella Ruthenibacterium Salmonella Serratia Shigella Streptococcus
vatA_NT,vat(A),MLS,Streptogramin_A_O-acetyltransferase,VATA,vatA_NT,Enterococcus Staphylococcus
vatB_NT,vat(B),MLS,Streptogramin_A_O-acetyltransferase,VATB,vatB_NT,Listeria Staphylococcus
vatC_NT,vat(C),MLS,Streptogramin_A_O-acetyltransferase,VATC,vatC_NT,Staphylococcus
vatD_or_satA_NT,vat(D),MLS,Streptogramin_A_O-acetyltransferase,VATD,vatD_or_satA_NT,Clostridium Enterococcus
vatE_NT,vat(E),MLS,Streptogramin_A_O-acetyltransferase,VATE,vatE_NT,Companilactobacillus Enterococcus Lactobacillus Ligilactobacillus Limosilactobacillus Pediococcus Streptococcus
vatE6_NT,vat(E),MLS,Streptogramin_A_O-acetyltransferase,VATE,vatE6_NT,Companilactobacillus Enterococcus Lactobacillus Ligilactobacillus Limosilactobacillus Pediococcus Streptococcus
vatF_or_sat6_NT,vat(F),MLS,Streptogramin_A_O-acetyltransferase,VATF,vatF_or_sat6_NT,Yersinia
vatH_or_vatG_NT,vat(H),MLS,Streptogramin_A_O-acetyltransferase,VATA,vatH_or_vatG_NT,Enterococcus Ligilactobacillus
vcaM_NT,vcaM,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VCAM,vcaM_NT,Vibrio
vceA_NT,vceA,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VCEA,vceA_NT,Vibrio
vceB_NT,vceB,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VCEB,vceB_NT,Vibrio
vcmA_NT,vcmA,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VCMA,vcmA_NT,Vibrio
vcrM_NT,vcrM,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VCRM,vcrM_NT,Vibrio
vgaAlc_NT,vga(A)/(A)-LC,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VGA,vgaAlc_NT,Staphylococcus
vgaAlc_NT.1,vga(A)/(A)-LC ,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VGA,vgaAlc_NT,Staphylococcus
vgaB_NT,vga(B),Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VGAB,vgaB_NT,Listeria Staphylococcus
vgaC_NT,vga(C),Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VGA,vgaC_NT,Desemzia Staphylococcus
vgaD_NT,vga(D),Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VGAD,vgaD_NT,Enterococcus Ligilactobacillus
vgaE_NT,vga(E),Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,VGAE,vgaE_NT,Abyssicoccus Staphylococcus Streptococcus Suicoccus
vgbA_or_vgh_NT,vgb(A),MLS,Streptogramin_B_ester_bond_cleavage,VGBA,vgbA_or_vgh_NT,Enterococcus Staphylococcus
vgbB_NT,vgb(B),MLS,Streptogramin_B_ester_bond_cleavage,VGBB,vgbB_NT,Staphylococcus
blaSHV-100_NG,blaSHV,betalactams,Class_A_betalactamases,SHV,blaSHV-100_NG,Acinetobacter Atlantibacter Citrobacter Enterobacter Escherichia Klebsiella Kluyvera_intermedia Pluralibacter Providencia Pseudomonas Salmonella Serratia Staphylococcus
blaADC-133_NG,blaADC,betalactams,Class_C_betalactamases,ADC,blaADC-133_NG,Acinetobacter Enterobacter Escherichia Klebsiella Pseudomonas Staphylococcus
blaMIR-14_NG,blaMIR,betalactams,Class_C_betalactamases,MIR,blaMIR-14_NG,Enterobacter Escherichia Klebsiella 
blaADC-295_NG,blaADC,betalactams,Class_C_betalactamases,ADC,blaADC-295_NG,Acinetobacter Enterobacter Escherichia Klebsiella Pseudomonas Staphylococcus
