header,class,mechanism,group
aph3prime-viia_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-PRIME
aph3prime-viii_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-PRIME
aph3prime-xv_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-DPRIME
aph4-ia_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH4
aph4-ib_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH7-DPRIME
aph6-ia_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH6
aph6-ia_NT.1,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH6
aph6-ib_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH6
aph6-ic_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH6
aph9-ia_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH9
aph9-ib_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH9
aphA2_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-DPRIME
aphA3_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH2-DPRIME
aphA6_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-PRIME
aphA6_NT.1,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-PRIME
aphAI_NT,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-DPRIME
apmA_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,APMA
armA_NT,Aminoglycosides,16S_rRNA_methyltransferases,ARMA
bla1_T,betalactams,Class_A_betalactamases,BLA1
bla1_T.1,betalactams,Class_A_betalactamases,BLA1
bla1_T.2,betalactams,Class_A_betalactamases,BLA1
bla1_T.3,betalactams,Class_A_betalactamases,BLA1
bla2_T,betalactams,Class_B_betalactamases,BCII
bla2_T.1,betalactams,Class_B_betalactamases,BCII
bla2_T.2,betalactams,Class_B_betalactamases,BCII
blaACC-2_T,betalactams,Class_C_betalactamases,ACC
blaACC-2_T.1,betalactams,Class_C_betalactamases,ACC
blaACC-2_T.2,betalactams,Class_C_betalactamases,ACC
blaACC-2_T.3,betalactams,Class_C_betalactamases,ACC
blaACT_T,betalactams,Class_C_betalactamases,ACT
blaACT_T.1,betalactams,Class_C_betalactamases,ACT
blaACT_T.2,betalactams,Class_C_betalactamases,ACT
