header,class,mechanism,group
blaSFH-1_T.1,betalactams,Class_B_betalactamases,SFH
blaSFH-1_T.2,betalactams,Class_B_betalactamases,SFH
blaSFO_T,betalactams,Class_A_betalactamases,SFO
blaSFO_T.1,betalactams,Class_A_betalactamases,SFO
blaSFO_T.2,betalactams,Class_A_betalactamases,SFO
blaSHV-1_or_PIT_T,betalactams,Class_A_betalactamases,SHV
blaSHV-1_or_PIT_T.1,betalactams,Class_A_betalactamases,SHV
blaSIM-1_T,betalactams,Class_B_betalactamases,SIM
blaSIM-1_T.1,betalactams,Class_B_betalactamases,SIM
blaSME_T,betalactams,Class_A_betalactamases,BLASME
blaSME_T.1,betalactams,Class_A_betalactamases,BLASME
blaSME_T.2,betalactams,Class_A_betalactamases,BLASME
blaSME_T.3,betalactams,Class_A_betalactamases,BLASME
blaSME_T.4,betalactams,Class_A_betalactamases,BLASME
blaSPM-1_T,betalactams,Class_B_betalactamases,SPM
blaSPM-1_T.1,betalactams,Class_B_betalactamases,SPM
blaTEM-1_T,betalactams,Class_A_betalactamases,TEM
blaTEM-1_T.1,betalactams,Class_A_betalactamases,TEM
blaTEM-1_T.2,betalactams,Class_A_betalactamases,TEM
blaTLA-1_T,betalactams,Class_A_betalactamases,TLA
blaTLA-1_T.1,betalactams,Class_A_betalactamases,TLA
blaTLA-1_T.2,betalactams,Class_A_betalactamases,TLA
blaTLA-1_T.3,betalactams,Class_A_betalactamases,TLA
blaTMB_T,betalactams,Class_B_betalactamases,TMB
blaTMB_T.1,betalactams,Class_B_betalactamases,TMB
blaTUS_T,betalactams,Class_B_betalactamases,TUS
blaTUS_T.1,betalactams,Class_B_betalactamases,TUS
blaVEB-1_T,betalactams,Class_A_betalactamases,VEB
blaVEB-1_T.1,betalactams,Class_A_betalactamases,VEB
blaVEB-1_T.2,betalactams,Class_A_betalactamases,VEB
blaVIM-2_T,betalactams,Class_B_betalactamases,VIM
blaVIM-2_T.1,betalactams,Class_B_betalactamases,VIM
